PAKKAUSNRO;VNRNRO;PAKKAUSKOKO;KERROIN;KOKO;YKSIKKO;LAITE;ASTIATUN;KAUPPAANTULOPVM;KAUPASTAPOISPVM;RESEPTISTATUS;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;LAAKEMUOTOTUN;HALTIJA;HUM;VET;RINNAKKAISTUONTI;VAIKAINELKM;ATCKOODI;ATCTUN;DDD;DDDYKSIKKO;HUUME;PSYKOLUOKITUS;LIIKENNEVAARA;EHTOKOODI;MYYNTILUPANRO;EUMYYNTILUPANRO;PAATOSPVM;PAATTYMISPVM;TILANIMI;TILAKOODI;MUUTOS;EDELLINEN_VNRNRO;SUBSTITUUTIORYHMA;KAUPAN;EDELLINEN_LAAKENIMI
188136;;100 ml;1;100.00;ml;;;;;R;FLAGYL;200 mg / 5 ml (40 mg/ml);oraalisuspensio;211;Unither Liquid Manufacturing ;1;0;0;1;P01AB01;3771;2;g;;;0;;36655;;2019-01-01;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
188137;;80 ml;1;80.00;ml;;;;;R;FURANTOINA;10 mg/ml;oraalisuspensio;211;Laboratorios ERN, S.A. ;1;0;0;1;J01XE01;2168;0.2;g;;;0;;36656;;2019-01-01;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
189128;;5 x 3 ml;5;3.00;ml;;;;;R;HYPURIN PORCINE ISOPHANE;100 IU/ml;injektioneste, suspensio;245;CP Pharmaceuticals Ltd. ;1;0;0;1;A10AC03;439;40;U;;;0;;36844;;2019-02-28;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
189129;;5 x 3 ml;5;3.00;ml;;;;;R;HYPURIN PORCINE NEUTRAL;100 IU/ml;injektioneste, liuos;244;CP Pharmaceuticals Ltd. ;1;0;0;1;A10AB03;433;40;U;;;0;;36845;;2019-02-28;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
189153;;10 ml;1;10.00;ml;;;;;R;HYPURIN PORCINE ISOPHANE;100 IU/ml;injektioneste, suspensio;245;CP Pharmaceuticals Ltd. ;1;0;0;1;A10AC03;439;40;U;;;0;;36844;;2019-02-28;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
189523;;24;1;24.00;kpl;;;;;R;EFEDRINA LEVEL COMPRIMIDOS;50 mg;tabletti;173;Laboratorios ERN, S.A. ;1;0;0;1;R03CA02;4058;50;mg;;;0;;36929;;2019-04-03;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
192357;;3 ml;1;3.00;ml;;;;;R;WARTICON "PHOENIX LABS";5 mg/ml (0.5% w/v);liuos iholle;206;Famar Nederland B.V. ;1;0;0;1;D06BB04;1667;;;;;0;;37408;;2019-09-12;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
193047;;20 x 0.5 ml;20;0.50;ml;;;;;R;MINIMS FLUORESCEIN SODIUM 2% W/V;2 %;silm‰tipat, liuos, kerta-annospakkaus;655;Laboratoire Chauvin ;1;0;0;1;S01JA01;4491;;;;;0;;37508;;2019-10-28;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
193259;;50 x 4 g;5;1.00;kpl;;;;;R;QUANTALAN ZUCKERFREI;;jauhe;69;Farmea ;1;0;0;1;C10AC01;1489;14;g;;;0;;37547;;2019-11-07;2020-04-30;M‰‰r‰aikainen erityislupa;11;;;;0;
193679;;1 kpl + liuotin;1;1.00;kpl;;;;;R;FARMAPROINA;1 200 000 U.I.;injektiokuiva-aine ja liuotin, liuosta varten;240;Laboratorio Reig JofrÈ S.A. ;1;0;0;1;J01CE09;2363;0.6;g;;;0;;37643;;2019-11-21;2020-08-31;M‰‰r‰aikainen erityislupa;11;;;;0;
194451;;50 x 4 g;50;1.00;annos;;;;;R;RESINCOLESTIRAMINA;4 g;annosjauhe;5;Laboratorios Rubio S.A. ;1;0;0;1;C10AC01;1489;14;g;;;0;;37799;;2020-01-14;2020-04-30;M‰‰r‰aikainen erityislupa;11;I;;;0;
